train_frac,weight_decay,seed,train_acc_end,test_acc_end,train_acc_mid,test_acc_mid,train_acc_start,test_acc_start,score
0.35,0.03,0,1.0,0.28580769896507263,1.0,0.18198168277740479,0.00971758272498846,0.010627861134707928,0.5333223819732666
0.35,0.03,1,1.0,0.11739698797464371,1.0,0.09172661602497101,0.00971758272498846,0.010300849564373493,0.1457488477230072
0.35,0.1,0,1.0,0.28351864218711853,1.0,0.2395356297492981,0.00971758272498846,0.010627861134707928,0.23639642000198366
0.35,0.1,1,1.0,0.08158927410840988,1.0,0.07308698445558548,0.00971758272498846,0.010300849564373493,0.024100722372531885
0.35,0.3,0,1.0,0.30428382754325867,1.0,0.286461740732193,0.00971758272498846,0.010627861134707928,0.08482660651206972
0.35,0.3,1,1.0,0.17020927369594574,1.0,0.07047089189291,0.00971758272498846,0.010300849564373493,0.5689011827111244
0.35,1.0,0,1.0,0.9895356297492981,1.0,0.3358404040336609,0.01002125721424818,0.010627861134707928,-1000.9895356297493
0.35,1.0,1,1.0,0.4313276410102844,1.0,0.26406148076057434,0.00971758272498846,0.010300849564373493,0.7050031602382659
0.4,0.0,0,1.0,0.2470775693655014,1.0,0.1958908885717392,0.00983258057385683,0.010626992210745811,0.3088558346033097
0.4,0.0,1,1.0,0.3313850462436676,1.0,0.29277363419532776,0.00930108968168497,0.010804109275341034,0.16167201399803163
0.4,0.01,0,1.0,0.2592986226081848,1.0,0.20846617221832275,0.00983258057385683,0.010626992210745811,0.29486362934112553
0.4,0.01,1,1.0,0.33616718649864197,1.0,0.2995040714740753,0.00930108968168497,0.010804109275341034,0.1471483886241913
0.4,0.03,0,1.0,0.25841304659843445,1.0,0.1576337218284607,0.00983258057385683,0.010626992210745811,0.5454835772514344
0.4,0.03,1,1.0,0.34218916296958923,0.9992027878761292,0.1581650674343109,0.00930108968168497,0.010804109275341034,0.8779313147068023
0.4,0.1,0,1.0,0.2283032238483429,1.0,0.21555082499980927,0.00983258057385683,0.010626992210745811,0.13545877039432527
0.4,0.1,1,1.0,0.3023379445075989,1.0,0.2956075072288513,0.00930108968168497,0.010804109275341034,0.03131424188613893
0.4,0.3,0,1.0,0.3276655972003937,1.0,0.18083599209785461,0.00983258057385683,0.010626992210745811,0.7064824283123016
0.4,0.3,1,1.0,0.36486008763313293,1.0,0.35441020131111145,0.00930108968168497,0.010804109275341034,-0.012610656023025496
0.4,1.0,0,1.0,1.0,1.0,0.5003542304039001,0.00983258057385683,0.010626992210745811,-1001.0
0.4,1.0,1,1.0,0.9996457695960999,1.0,0.41161882877349854,0.00930108968168497,0.010804109275341034,-1000.9996457695961
0.5,0.0,0,1.0,0.4937300682067871,1.0,0.4852284789085388,0.008290816098451614,0.012114771641790867,-0.15122212171554564
0.5,0.0,1,1.0,0.4854409992694855,1.0,0.48395323753356934,0.009353741072118282,0.010839532129466534,-0.17800219058990477
0.5,0.01,0,1.0,0.4918172061443329,1.0,0.48480337858200073,0.008290816098451614,0.012114771641790867,-0.1567480683326721
0.5,0.01,1,1.0,0.4860786199569702,1.0,0.48480337858200073,0.009353741072118282,0.010839532129466534,-0.17970241308212279
0.5,0.03,0,1.0,0.49394258856773376,1.0,0.48629117012023926,0.008290816098451614,0.012114771641790867,-0.1556854963302612
0.5,0.03,1,1.0,0.48586609959602356,1.0,0.48395323753356934,0.009353741072118282,0.010839532129466534,-0.17630178928375242
0.5,0.1,0,1.0,0.49479275941848755,1.0,0.4896917939186096,0.008290816098451614,0.012114771641790867,-0.16928793191909788
0.5,0.1,1,1.0,0.4860786199569702,1.0,0.484165757894516,0.009353741072118282,0.010839532129466534,-0.17651430964469908
0.5,0.3,0,1.0,0.7526035904884338,1.0,0.503931999206543,0.008290816098451614,0.012114771641790867,0.7907543659210204
0.5,0.3,1,1.0,0.48841655254364014,1.0,0.48352813720703125,0.009353741072118282,0.010839532129466534,-0.1639744758605957
0.5,1.0,0,1.0,1.0,1.0,0.9995748996734619,0.008290816098451614,0.012114771641790867,-1001.0
0.5,1.0,1,1.0,1.0,0.9995747804641724,0.6450584530830383,0.009353741072118282,0.010839532129466534,-1001.0
